"","CTRL","DNEG","SSA","SSAB"
"IGHJ4*02",11313,22994,33845,31406
"IGHJ6*02",4922,10680,10861,11341
"IGHJ3*02",2449,4393,7975,8942
"IGHJ5*02",2760,5328,8070,6904
"IGHJ6*03",230,1232,5353,2244
"IGHJ2*01",665,1278,1826,2092
"IGHJ1*01",277,578,1049,1160
"IGHJ3*01",225,555,555,251
"IGHJ5*01",79,242,195,72
"IGHJ6*04",13,76,290,153
"IGHJ4*01",48,118,108,31
"IGHJ6*01",17,52,27,13
"IGHJ4*03",6,10,4,1
