"","CTRL","DNEG","SSA","SSAB"
"IGHM",16331,31315,56701,56897
"IGHG1",1109,6846,4698,1402
"IGHA1",2390,4982,4171,1519
"IGHD",2056,1668,2320,3901
"IGHG2",308,927,831,286
"IGHA2",542,751,604,331
"IGHG3",121,837,572,162
"IGHG4",17,35,59,19
"IGHE",1,0,0,0
"IGLC1",1,0,0,0
"IGLC2",0,0,0,1
