"","CTRL","DNEG","SSA","SSAB"
"IGHV2-5*05",1,1,2,2
"IGHV3-21*05",1,3,2,0
"IGHV3-23*02",2,2,1,1
"IGHV3-9*02",0,0,4,2
"IGHV4-59*07",0,3,2,1
"IGHV1-3*02",1,2,1,1
"IGHV1-58*03",0,1,4,0
"IGHV1-69*13",0,0,4,1
"IGHV2-26*04",0,0,1,4
"IGHV3-30*17",1,0,4,0
"IGHV3-64*05",2,2,1,0
"IGHV3-74*02",2,1,2,0
"IGHV6-1*02",2,3,0,0
"IGHV3-30*05",1,2,1,0
"IGHV3-30*07",0,1,2,1
"IGHV3-30*16",1,0,3,0
"IGHV3-33*04",1,1,2,0
"IGHV3-69-1*01",3,0,0,1
"IGHV4-28*02",0,0,3,1
"IGHV3-30*13",0,0,2,1
"IGHV3-33*02",0,1,1,1
"IGHV4-28*07",1,1,0,1
"IGHV4-4*01",0,0,1,2
"IGHV5-51*06",3,0,0,0
"IGHV1-69*05",0,0,1,1
"IGHV1-69*16",0,0,2,0
"IGHV2-26*02",0,0,1,1
"IGHV2-26*03",0,0,1,1
"IGHV2-70*11",0,2,0,0
"IGHV3-49*01",0,1,0,1
"IGHV3-53*03",0,1,0,1
"IGHV3-69-1*02",1,1,0,0
"IGHV4-28*03",0,0,1,1
"IGHV4-34*08",0,0,2,0
"IGHV4-59*04",0,2,0,0
"IGHV7-4-1*04",0,1,0,1
"IGHV1-45*01",0,1,0,0
"IGHV1-45*03",0,1,0,0
"IGHV1-69*19",0,1,0,0
"IGHV2-5*06",0,1,0,0
"IGHV2-70D*14",0,1,0,0
"IGHV3-20*02",1,0,0,0
"IGHV3-30*06",0,0,0,1
"IGHV3-30*11",0,0,1,0
"IGHV3-53*05",0,0,1,0
"IGHV3-64*04",0,0,0,1
"IGHV3-NL1*01",1,0,0,0
"IGHV3/OR16-17*01",0,0,1,0
"IGHV4-28*05",1,0,0,0
"IGHV4-31*04",0,1,0,0
"IGHV4-31*06",0,1,0,0
"IGHV4-34*04",0,1,0,0
"IGHV4-39*03",0,0,0,1
"IGHV4-39*06",0,1,0,0
"IGHV4-4*03",0,1,0,0
"IGHV4-59*06",0,0,0,1
"IGHV4-61*05",1,0,0,0
"IGHV4-61*09",0,1,0,0
"IGHV4/OR15-8*02",0,0,1,0
"IGHV5-51*04",0,0,0,1
