"","CTRL","DNEG","SSA","SSAB"
"IGHJ4",11367,23122,33957,31438
"IGHJ6",5182,12040,16531,13751
"IGHJ3",2674,4948,8530,9193
"IGHJ5",2839,5570,8265,6976
"IGHJ2",665,1278,1826,2092
"IGHJ1",277,578,1049,1160
